"Label","RawSamples","Samples","Interrupted","Failures","ErrorRatePct","AverageMs","MinMs","P50Ms","P90Ms","P95Ms","P99Ms","MaxMs","ThroughputRps"
"01 Login (auth-heavy)","6400","6400","0","0","0","19.9","1","7","52","92","187","293","26.803"
"02 Search products (read-heavy)","6324","6324","0","0","0","18.43","0","6","51","85","196","298","26.581"
"03 View product detail (read-heavy)","6265","6265","0","0","0","18.61","0","6","52","88","181","285","26.429"
"04 View cart (read-heavy)","6184","6184","0","0","0","9.14","0","3","25","41","89","130","26.12"
"05 Add product to cart (transactional)","6114","6114","0","0","0","9.41","0","3","24","43","96","132","25.952"
"06 Checkout (transactional)","6029","6029","0","0","0","22.99","2","10","55","94","206","924","25.683"
"07 View order history (verification)","5954","5954","0","0","0","21.38","1","8","59","97","211","285","25.519"
"E2E Purchase Workflow","6463","5953","510","0","0","5021.11","3162","5016","5639","5820","6100","6442","24.878"
