"Label","RawSamples","Samples","Interrupted","Failures","ErrorRatePct","AverageMs","MinMs","P50Ms","P90Ms","P95Ms","P99Ms","MaxMs","ThroughputRps"
"01 Login (auth-heavy)","1110","1110","0","0","0","3.41","1","3","5","6","10","52","3.714"
"02 Search products (read-heavy)","1108","1108","0","0","0","1.98","0","2","3","4","6","17","3.71"
"03 View product detail (read-heavy)","1105","1105","0","0","0","1.97","0","2","3","3","7","19","3.712"
"04 View cart (read-heavy)","1104","1104","0","0","0","2.37","1","2","4","4","6","16","3.71"
"05 Add product to cart (transactional)","1099","1099","0","0","0","2.48","1","2","4","4","5","15","3.707"
"06 Checkout (transactional)","1097","1097","0","0","0","8.03","3","6","15","17","19","684","3.705"
"07 View order history (verification)","1092","1092","0","0","0","3.35","1","3","5","6","9","15","3.707"
"E2E Purchase Workflow","1112","1092","20","0","0","4918.34","3501","4933","5504","5628","5924","6250","3.642"
